No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
347,4061,デンカ,東P,"3,876",-380,-8.93,1901300,20.9,1.08,2.58,7369438800
348,4784,ＧＭＯインタ,東P,629,-24,-3.68,1890200,32.4,14.0,3.42,1188935800
349,4042,東ソー,東P,"2,627.0",+9.0,+0.34,1876900,ー,0.97,3.81,4930616300
350,9704,アゴーラＨＧ,東S,35,-3,-7.89,1868300,37.2,1.68,ー,65390500
351,7220,武蔵精密,東P,"5,440",-340,-5.88,1866000,54.9,2.92,0.74,10151040000
352,4443,Ｓａｎｓａｎ,東P,"1,308",+42,+3.32,1841500,ー,9.19,ー,2408682000
353,5406,神戸鋼,東P,"1,962.5",-17.0,-0.86,1834800,7.76,0.62,4.08,3600795000
354,3823,ＷＨＤＣ,東S,38,0,0.00,1828500,ー,3.70,ー,69483000
355,8572,アコム,東S,464.3,+5.4,+1.18,1806000,11.4,1.01,4.74,838525800
356,8425,みずほリース,東P,"1,360",-92,-6.34,1805800,7.33,0.89,3.82,2455888000
357,547A,ムニノバＨＤ,東P,458,-1,-0.22,1796400,6.94,0.92,4.37,822751200
358,4776,サイボウズ,東P,"2,392",+268,+12.62,1779700,14.9,6.31,2.09,4257042400
359,8338,筑波銀,東P,624,+5,+0.81,1760100,7.77,0.73,0.80,1098302400
360,485A,ＰｏｗｅｒＸ,東G,"12,320",+170,+1.40,1745900,375,67.9,ー,21509488000
361,4324,電通グループ,東P,"3,035.0",+46.5,+1.56,1744000,11.3,1.89,ー,5293040000
362,5711,三菱マ,東P,"5,428",+66,+1.23,1744000,14.5,0.96,2.14,9466432000
363,6770,アルプスアル,東P,"2,206.0",-2.0,-0.09,1739200,14.4,0.96,2.90,3836675200
364,3863,日本紙,東P,"1,450",-26,-1.76,1738300,16.7,0.33,1.03,2520535000
